name,listeners,playcount,bio,album_name,release_date,total_tracks,spotify_url,danceability,energy,valence,tempo,acousticness,instrumentalness,liveness,speechiness,popularity,genre,name
elis regina,4.358898943540674,4.358898943540674,"Elis Regina Carvalho Costa (March 17, 1945, Porto Alegre, Rio Grande do Sul, Brazil – January 19, 1982, São Paulo, Brazil), better known as Elis Regina, was a Brazilian singer and one of the biggest names of MPB. Known for her vocal competence, musicianship and stage presence, she was acclaimed both in Brazil and internationally.

In the '60s, Elis was a leader and a standard-bearer in defense of Brazilian popular music, heavily contributing to the formation of the MPB label, with commercial and ideological characteristics at the same time. <a href=""https://www.last.fm/music/Elis+Regina"">Read more on Last.fm</a>",Trem Azul,2023-03-17,25,https://open.spotify.com/album/0Jl8gxF0bV3CDB2A01Y30N,-1.7460517785938037,0.581470816019981,-0.3987777281153396,0.4821277104181963,-0.9638183679513822,3.5319438095464033,0.7739138089457867,1.3141340895820284,0.0,"bossa nova, brazilian jazz, mpb, samba",trem azul
0,-0.22941573387056174,-0.22941573387056177,0,Dá sorte (Remastered),2023-02-06,12,https://open.spotify.com/album/6xlEhOcMe6xMN4820qZYDF,0.4856482954411601,-1.2069066114004463,0.8245106074451389,0.012214206364874735,1.430688956210031,-0.7806133321330838,-0.4712661063458887,-1.2193260409240319,0.0,"bossa nova, brazilian jazz, mpb, samba",dá sorte (remastered)
0,-0.22941573387056174,-0.22941573387056177,0,Dois Na Bossa,2022-08-19,10,https://open.spotify.com/album/3H2xT2Auu7GGjpqRcTYeuo,-0.839357082889078,1.1658497555779268,1.9246173999449687,-0.25172846541742744,-0.628287828779405,0.8153017202421082,2.389531534203002,1.578422562859639,0.0,"bossa nova, brazilian jazz, mpb, samba",dois na bossa
0,-0.22941573387056174,-0.22941573387056177,0,Tu Serás,2022-04-15,12,https://open.spotify.com/album/3r7GOH7EAm31i6h25rl2W4,0.9469966497173333,-1.301916315489469,0.7313564032415245,0.5070463154933322,1.382551092279014,0.28727270889929934,-0.9230412316580976,-0.7859892000470267,0.0,"bossa nova, brazilian jazz, mpb, samba",tu serás
0,-0.22941573387056174,-0.22941573387056177,0,Falso Brilhante (Remastered 2022),2022-03-17,10,https://open.spotify.com/album/5mXrkJyXx9VluFCtbv2YNs,-0.7096633497289235,-0.8847615586574807,-1.2827769060958936,1.7221880895793702,-2.2217474006239395,-0.7697252436034698,-0.8176351233839475,2.0981447739678725,0.0,"bossa nova, brazilian jazz, mpb, samba",falso brilhante (remastered 2022)
0,-0.22941573387056174,-0.22941573387056177,0,"Elis, essa saudade",2021-12-03,16,https://open.spotify.com/album/4JINnNfb7BJYLaIRkU5KEC,-0.8717805161791162,0.5867345312147446,-1.3243731099321199,-0.0707523953275241,-0.5292742599062937,-0.688483532202159,-0.2348039648078345,-0.19819973516437636,0.0,"bossa nova, brazilian jazz, mpb, samba","elis, essa saudade"
0,-0.22941573387056174,-0.22941573387056177,0,Elis (Remastered),2021-03-17,12,https://open.spotify.com/album/4ooDii6hWTA1jKM5dBW4je,0.23561684469708027,-0.7096595619625724,-1.3317240539373032,0.09527272180586713,-0.9653732209563534,-0.36437965679611667,-0.945241781586168,-0.15830877597843823,0.0,"bossa nova, brazilian jazz, mpb, samba",elis (remastered)
0,-0.22941573387056174,-0.22941573387056177,0,Elis Regina,2020-12-11,12,https://open.spotify.com/album/5cO70w6hSsshr2pvL9n0QM,2.468155733921634,-0.3198533928496672,1.7275360563577296,-1.7292519532239832,1.00166024392484,-0.711547458825204,-0.9530867846572896,0.1624638855167411,0.0,"bossa nova, brazilian jazz, mpb, samba",elis regina
0,-0.22941573387056174,-0.22941573387056177,0,Poema De Amor,2020-10-15,12,https://open.spotify.com/album/2bsIUfv8vJo9vYkqGOSWCn,0.41144541328485223,-0.9751539687160082,0.06977144277503756,-0.79342293057034,0.16345968822600107,-0.7833225709454613,-0.6206446699784794,-1.3365901860420517,0.0,"bossa nova, brazilian jazz, mpb, samba",poema de amor
0,-0.22941573387056174,-0.22941573387056177,0,Baby Face,2018-06-01,12,https://open.spotify.com/album/0PDevdJGRIbasibxHHGwTe,1.0324912748104693,-1.523013664257381,0.9525184254664327,-0.6281987761032433,1.7772815765133556,-0.7264047049385731,-0.6278022243268737,-1.4503293568579239,0.0,"bossa nova, brazilian jazz, mpb, samba",baby face
0,-0.22941573387056174,-0.22941573387056177,0,A Arte De Elis Regina,2015-10-30,21,https://open.spotify.com/album/2vOM0jN5gH3ohJUWhw1XP7,-0.015105937247212937,1.4055431292049192,0.7029122332116158,0.48190321577673956,-0.3204118047520273,-0.5388127401856698,-0.07222811876288998,-0.35047023222107604,0.0,"bossa nova, brazilian jazz, mpb, samba",a arte de elis regina
0,-0.22941573387056174,-0.22941573387056177,0,Elis 70 Anos,2015-07-31,45,https://open.spotify.com/album/0VJNLXOqJnraEi0RDVqUBQ,-0.35843637418906893,0.2082466520842816,-0.7776572112477771,0.09494568393469066,-0.3810196677204132,-0.021102231723033583,0.42688969371312907,0.3423315742408505,0.0,"bossa nova, brazilian jazz, mpb, samba",elis 70 anos
0,-0.22941573387056174,-0.22941573387056177,0,Pizzicati-Pizzicato,2015-06-09,14,https://open.spotify.com/album/4zakoScmeAd8ZQeyexBeSB,0.20289383455361665,-0.18234936183164246,0.6916142306026641,-0.31418239446816626,1.2452722196043098,0.839204814601486,-0.8808988918909174,-1.440526571179577,0.0,"bossa nova, brazilian jazz, mpb, samba",pizzicati-pizzicato
0,-0.22941573387056174,-0.22941573387056177,0,O Melhor de Elis (Ao Vivo),2015-05-05,19,https://open.spotify.com/album/03YaCTVwBQvREXcISTUIoN,-1.759540741885558,-0.04290921851048915,-0.783158189913483,-0.23511200769321558,0.4155184112700586,-0.5484915930651508,1.4384004673393038,0.2630060472786201,0.0,"bossa nova, brazilian jazz, mpb, samba",o melhor de elis (ao vivo)
0,-0.22941573387056174,-0.22941573387056177,0,Sem Teu Amor,2015-02-24,12,https://open.spotify.com/album/11lfRuikFvk1mgtwFS055z,1.532554176298627,0.19692836210183953,1.1850870849407626,-1.7601559816073653,0.9751844187627804,1.032519527987909,-0.8218649549367275,-1.187131275631108,0.0,"bossa nova, brazilian jazz, mpb, samba",sem teu amor
0,-0.22941573387056174,-0.22941573387056177,0,"Elis, O Mito",2015-02-10,17,https://open.spotify.com/album/4lRlS2L6i4oLDHJi7t67zQ,0.4500650719007315,-0.47581764596116743,0.05643387804352391,2.6834545124901203,-0.35848925964132683,0.7081511532020163,-0.8542178617803668,0.0718236639513937,0.0,"bossa nova, brazilian jazz, mpb, samba","elis, o mito"
0,-0.22941573387056174,-0.22941573387056177,0,Elis e Ivan,2014-11-25,13,https://open.spotify.com/album/0eQJbZBmVKhLqXKDw1Bh9G,-0.18031636765733874,-0.15770167645330505,-0.6567923529627309,-1.2081014027297576,-0.292692858928013,-0.3494027578553598,0.04218965572177884,0.26808657704203415,0.0,"bossa nova, brazilian jazz, mpb, samba",elis e ivan
0,-0.22941573387056174,-0.22941573387056177,0,Elis Regina - Original Album Series,2013-02-04,59,https://open.spotify.com/album/5jZQRDU624V1YOeSzvj9Cj,-0.5551923063530987,-0.0467653132983851,-0.7314256880078223,0.34715504924162577,-0.7331754204986989,-0.26581255772861695,0.22178734537947983,0.6424713861541439,0.0,"bossa nova, brazilian jazz, mpb, samba",elis regina - original album series
0,-0.22941573387056174,-0.22941573387056177,0,iCollection,2012-04-23,20,https://open.spotify.com/album/4KeB4betiNSL6cUp8auO5t,-0.5122191589477937,1.1259456798605374,-0.6476173219239013,0.3790918730263168,-0.17482915054922252,-0.48112766068310614,0.9496499653709388,0.5343251745643376,0.0,"bossa nova, brazilian jazz, mpb, samba",icollection
0,-0.22941573387056174,-0.22941573387056177,0,Um Dia,2012-01-24,27,https://open.spotify.com/album/3phfYBXSkgSupBBJrM5TI9,-0.21820368095453901,2.556089363323757,-0.9320551998930425,0.18550692900986748,-0.8224973664833204,-0.1851676937942165,1.980369243442062,0.8516616388879464,0.0,"bossa nova, brazilian jazz, mpb, samba",um dia
